, Houston Astros, 6, @,  New York Mets, 1,     Boxscore,
,Boston Red Sox, 0, @,  Oakland Athletics, 5,     Boxscore,
, Milwaukee Brewers, 9, @,  Philadelphia Phillies, 0,     Boxscore,
,Detroit Tigers, 3, @,  Seattle Mariners, 13,     Boxscore,
,Chicago White Sox, 1, @,  Tampa Bay Rays, 2,     Boxscore,
, LA Angels of Anaheim, 15, @,  Texas Rangers, 4,     Boxscore,
,New York Yankees, 5, @,  Toronto Blue Jays, 6,     Boxscore,
,Minnesota Twins, 4, @,  Baltimore Orioles, 5,     Boxscore,
,San Diego Padres, 1, @,  Chicago Cubs, 2,     Boxscore,
, San Diego Padres, 5, @,  Chicago Cubs, 4,     Boxscore,
, Arizona D'Backs, 3, @,  Cincinnati Reds, 1,     Boxscore,
,San Francisco Giants, 2, @,  Colorado Rockies, 10,     Boxscore,
,Pittsburgh Pirates, 0, @,  Florida Marlins, 6,     Boxscore,
, Cleveland Indians, 7, @,  Kansas City Royals, 5,     Boxscore,
,Atlanta Braves, 1, @,  Los Angeles Dodgers, 6,     Boxscore,
, Houston Astros, 4, @,  New York Mets, 3,     Boxscore,
, Boston Red Sox, 5, @,  Oakland Athletics, 3,     Boxscore,
,Milwaukee Brewers, 3, @,  Philadelphia Phillies, 4,     Boxscore,
, Detroit Tigers, 3, @,  Seattle Mariners, 2,     Boxscore,
, Washington Nationals, 8, @,  St. Louis Cardinals, 6,     Boxscore,
,Washington Nationals, 3, @,  St. Louis Cardinals, 5,     Boxscore,
,Chicago White Sox, 1, @,  Tampa Bay Rays, 4,     Boxscore,
, LA Angels of Anaheim, 4, @,  Texas Rangers, 1,     Boxscore,
, New York Yankees, 6, @,  Toronto Blue Jays, 2,     Boxscore,
, Boston Red Sox, 4, @,  LA Angels of Anaheim, 2,     Boxscore,
, Minnesota Twins, 3, @,  Baltimore Orioles, 1,     Boxscore,
,Arizona D'Backs, 4, @,  Cincinnati Reds, 7,     Boxscore,
,Pittsburgh Pirates, 5, @,  Florida Marlins, 9,     Boxscore,
,Cleveland Indians, 2, @,  Kansas City Royals, 3,     Boxscore,
,Atlanta Braves, 3, @,  Los Angeles Dodgers, 5,     Boxscore,
,Houston Astros, 1, @,  New York Mets, 9,     Boxscore,
, Philadelphia Phillies, 3, @,  San Diego Padres, 0,     Boxscore,
,Oakland Athletics, 0, @,  Seattle Mariners, 1,     Boxscore,
,Washington Nationals, 0, @,  St. Louis Cardinals, 5,     Boxscore,
, Chicago White Sox, 9, @,  Tampa Bay Rays, 2,     Boxscore,
, Boston Red Sox, 4, @,  LA Angels of Anaheim, 3,     Boxscore,
, Los Angeles Dodgers, 12, @,  Chicago Cubs, 2,     Boxscore,
,Chicago White Sox, 3, @,  Detroit Tigers, 9,     Boxscore,
,Colorado Rockies, 1, @,  Florida Marlins, 4,     Boxscore,
,Houston Astros, 7, @,  Milwaukee Brewers, 14,     Boxscore,
,Arizona D'Backs, 1, @,  New York Mets, 4,     Boxscore,
, Philadelphia Phillies, 2, @,  San Diego Padres, 0,     Boxscore,
,Oakland Athletics, 0, @,  Seattle Mariners, 4,     Boxscore,
, Atlanta Braves, 4, @,  San Francisco Giants, 1,     Boxscore,
,Cincinnati Reds, 2, @,  St. Louis Cardinals, 4,     Boxscore,
,Kansas City Royals, 6, @,  Texas Rangers, 11,     Boxscore,
,Tampa Bay Rays, 4, @,  Toronto Blue Jays, 6,     Boxscore,
, Boston Red Sox, 5, @,  LA Angels of Anaheim, 0,     Boxscore,
, New York Yankees, 15, @,  Baltimore Orioles, 3,     Boxscore,
,Los Angeles Dodgers, 8, @,  Chicago Cubs, 10,     Boxscore,
,Chicago White Sox, 0, @,  Detroit Tigers, 9,     Boxscore,
, Colorado Rockies, 3, @,  Florida Marlins, 1,     Boxscore,
, Houston Astros, 9, @,  Milwaukee Brewers, 6,     Boxscore,
,Cleveland Indians, 3, @,  Minnesota Twins, 10,     Boxscore,
,Arizona D'Backs, 4, @,  New York Mets, 6,     Boxscore,
,Washington Nationals, 2, @,  Pittsburgh Pirates, 7,     Boxscore,
, Philadelphia Phillies, 4, @,  San Diego Padres, 2,     Boxscore,
, Oakland Athletics, 9, @,  Seattle Mariners, 1,     Boxscore,
, Atlanta Braves, 5, @,  San Francisco Giants, 2,     Boxscore,
, Cincinnati Reds, 5, @,  St. Louis Cardinals, 3,     Boxscore,
,Kansas City Royals, 1, @,  Texas Rangers, 3,     Boxscore,
, Tampa Bay Rays, 6, @,  Toronto Blue Jays, 4,     Boxscore,
, Boston Red Sox, 7, @,  LA Angels of Anaheim, 0,     Boxscore,
, New York Yankees, 6, @,  Baltimore Orioles, 3,     Boxscore,
, Los Angeles Dodgers, 7, @,  Chicago Cubs, 3,     Boxscore,
,Chicago White Sox, 0, @,  Detroit Tigers, 3,     Boxscore,
,Colorado Rockies, 3, @,  Florida Marlins, 6,     Boxscore,
,Houston Astros, 1, @,  Milwaukee Brewers, 4,     Boxscore,
,Cleveland Indians, 3, @,  Minnesota Twins, 4,     Boxscore,
,Arizona D'Backs, 4, @,  New York Mets, 8,     Boxscore,
, Washington Nationals, 6, @,  Pittsburgh Pirates, 3,     Boxscore,
, Philadelphia Phillies, 3, @,  San Diego Padres, 1,     Boxscore,
, Oakland Athletics, 5, @,  Seattle Mariners, 2,     Boxscore,
, Atlanta Braves, 9, @,  San Francisco Giants, 6,     Boxscore,
,Cincinnati Reds, 0, @,  St. Louis Cardinals, 3,     Boxscore,
,Kansas City Royals, 7, @,  Texas Rangers, 8,     Boxscore,
, Tampa Bay Rays, 2, @,  Toronto Blue Jays, 0,     Boxscore,
,Oakland Athletics, 0, @,  LA Angels of Anaheim, 5,     Boxscore,
,Philadelphia Phillies, 0, @,  Arizona D'Backs, 4,     Boxscore,
, Colorado Rockies, 5, @,  Chicago Cubs, 3,     Boxscore,
,Los Angeles Dodgers, 4, @,  Florida Marlins, 5,     Boxscore,
, Cincinnati Reds, 9, @,  Milwaukee Brewers, 5,     Boxscore,
, Chicago White Sox, 2, @,  New York Yankees, 0,     Boxscore,
,Washington Nationals, 2, @,  Pittsburgh Pirates, 4,     Boxscore,
,Atlanta Braves, 3, @,  San Diego Padres, 5,     Boxscore,
, Toronto Blue Jays, 6, @,  Texas Rangers, 4,     Boxscore,
,Oakland Athletics, 3, @,  LA Angels of Anaheim, 8,     Boxscore,
,Philadelphia Phillies, 5, @,  Arizona D'Backs, 7,     Boxscore,
,Boston Red Sox, 1, @,  Baltimore Orioles, 4,     Boxscore,
, Colorado Rockies, 4, @,  Chicago Cubs, 3,     Boxscore,
,Kansas City Royals, 4, @,  Cleveland Indians, 9,     Boxscore,
, Seattle Mariners, 7, @,  Detroit Tigers, 3,     Boxscore,
,Los Angeles Dodgers, 2, @,  Florida Marlins, 4,     Boxscore,
,St. Louis Cardinals, 5, @,  Houston Astros, 6,     Boxscore,
,Cincinnati Reds, 2, @,  Milwaukee Brewers, 3,     Boxscore,
, Chicago White Sox, 3, @,  New York Yankees, 2,     Boxscore,
, San Francisco Giants, 3, @,  Pittsburgh Pirates, 2,     Boxscore,
, Atlanta Braves, 8, @,  San Diego Padres, 2,     Boxscore,
, Toronto Blue Jays, 10, @,  Texas Rangers, 3,     Boxscore,
, New York Mets, 6, @,  Washington Nationals, 4,     Boxscore,
, Oakland Athletics, 2, @,  LA Angels of Anaheim, 1,     Boxscore,
, Philadelphia Phillies, 8, @,  Arizona D'Backs, 4,     Boxscore,
,Boston Red Sox, 4, @,  Baltimore Orioles, 5,     Boxscore,
,Kansas City Royals, 2, @,  Cleveland Indians, 7,     Boxscore,
, Seattle Mariners, 10, @,  Detroit Tigers, 1,     Boxscore,
, Los Angeles Dodgers, 5, @,  Florida Marlins, 4,     Boxscore,
, St. Louis Cardinals, 6, @,  Houston Astros, 5,     Boxscore,
, Cincinnati Reds, 7, @,  Milwaukee Brewers, 6,     Boxscore,
, Tampa Bay Rays, 8, @,  Minnesota Twins, 2,     Boxscore,
,Chicago White Sox, 1, @,  New York Yankees, 3,     Boxscore,
,San Francisco Giants, 0, @,  Pittsburgh Pirates, 2,     Boxscore,
, Atlanta Braves, 7, @,  San Diego Padres, 0,     Boxscore,
,Toronto Blue Jays, 6, @,  Texas Rangers, 7,     Boxscore,
, New York Mets, 6, @,  Washington Nationals, 3,     Boxscore,
,Chicago Cubs, 2, @,  Arizona D'Backs, 11,     Boxscore,
, Boston Red Sox, 6, @,  Baltimore Orioles, 2,     Boxscore,
,Kansas City Royals, 2, @,  Cleveland Indians, 8,     Boxscore,
, Seattle Mariners, 7, @,  Detroit Tigers, 2,     Boxscore,
, St. Louis Cardinals, 11, @,  Houston Astros, 7,     Boxscore,
, Tampa Bay Rays, 15, @,  Minnesota Twins, 3,     Boxscore,
, Tampa Bay Rays, 6, @,  Minnesota Twins, 1,     Boxscore,
,Chicago White Sox, 3, @,  New York Yankees, 12,     Boxscore,
, San Francisco Giants, 5, @,  Pittsburgh Pirates, 2,     Boxscore,
, Toronto Blue Jays, 5, @,  Texas Rangers, 2,     Boxscore,
,New York Mets, 3, @,  Washington Nationals, 4,     Boxscore,
, Chicago Cubs, 4, @,  Arizona D'Backs, 2,     Boxscore,
, St. Louis Cardinals, 5, @,  Atlanta Braves, 3,     Boxscore,
, Seattle Mariners, 5, @,  Boston Red Sox, 4,     Boxscore,
, Baltimore Orioles, 10, @,  Chicago White Sox, 4,     Boxscore,
, Florida Marlins, 7, @,  Cincinnati Reds, 6,     Boxscore,
,Detroit Tigers, 5, @,  Cleveland Indians, 9,     Boxscore,
, Pittsburgh Pirates, 3, @,  Colorado Rockies, 0,     Boxscore,
, Milwaukee Brewers, 5, @,  Houston Astros, 0,     Boxscore,
,Minnesota Twins, 3, @,  Kansas City Royals, 4,     Boxscore,
