,Houston Astros, 1, @,  Seattle Mariners, 11,     Boxscore,
,San Diego Padres, 0, @,  San Francisco Giants, 1,     Boxscore,
,Baltimore Orioles, 1, @,  Tampa Bay Rays, 3,     Boxscore,
,New York Yankees, 1, @,  Texas Rangers, 10,     Boxscore,
, Chicago White Sox, 10, @,  Toronto Blue Jays, 1,     Boxscore,
, Philadelphia Phillies, 4, @,  Washington Nationals, 3,     Boxscore,
,Kansas City Royals, 2, @,  LA Angels of Anaheim, 4,     Boxscore,
, St. Louis Cardinals, 11, @,  Arizona D'Backs, 4,     Boxscore,
,Atlanta Braves, 4, @,  Boston Red Sox, 9,     Boxscore,
, Pittsburgh Pirates, 9, @,  Colorado Rockies, 8,     Boxscore,
,Oakland Athletics, 4, @,  Detroit Tigers, 9,     Boxscore,
, Miami Marlins, 2, @,  Los Angeles Dodgers, 0,     Boxscore,
, Cleveland Indians, 6, @,  Minnesota Twins, 5,     Boxscore,
,Cincinnati Reds, 2, @,  New York Mets, 5,     Boxscore,
, Houston Astros, 7, @,  Seattle Mariners, 4,     Boxscore,
,San Diego Padres, 9, @,  San Francisco Giants, 13,     Boxscore,
, Baltimore Orioles, 3, @,  Tampa Bay Rays, 1,     Boxscore,
,New York Yankees, 2, @,  Texas Rangers, 3,     Boxscore,
, Chicago White Sox, 4, @,  Toronto Blue Jays, 0,     Boxscore,
, Philadelphia Phillies, 3, @,  Washington Nationals, 0,     Boxscore,
,St. Louis Cardinals, 0, @,  Arizona D'Backs, 3,     Boxscore,
,Chicago White Sox, 2, @,  Baltimore Orioles, 10,     Boxscore,
, Atlanta Braves, 5, @,  Boston Red Sox, 3,     Boxscore,
,Milwaukee Brewers, 2, @,  Chicago Cubs, 7,     Boxscore,
,Oakland Athletics, 3, @,  Detroit Tigers, 7,     Boxscore,
, Miami Marlins, 5, @,  Los Angeles Dodgers, 3,     Boxscore,
, Philadelphia Phillies, 3, @,  Washington Nationals, 0,     Boxscore,
, Colorado Rockies, 9, @,  Arizona D'Backs, 0,     Boxscore,
,Chicago White Sox, 3, @,  Baltimore Orioles, 6,     Boxscore,
,New York Yankees, 2, @,  Boston Red Sox, 4,     Boxscore,
,Atlanta Braves, 1, @,  Chicago Cubs, 6,     Boxscore,
, San Diego Padres, 5, @,  Los Angeles Dodgers, 1,     Boxscore,
, Miami Marlins, 6, @,  Milwaukee Brewers, 3,     Boxscore,
, Detroit Tigers, 9, @,  Minnesota Twins, 2,     Boxscore,
,San Francisco Giants, 1, @,  New York Mets, 13,     Boxscore,
,Houston Astros, 4, @,  Oakland Athletics, 7,     Boxscore,
,Cleveland Indians, 3, @,  Philadelphia Phillies, 4,     Boxscore,
,Cincinnati Reds, 1, @,  Pittsburgh Pirates, 4,     Boxscore,
,Kansas City Royals, 0, @,  Seattle Mariners, 1,     Boxscore,
, Washington Nationals, 5, @,  St. Louis Cardinals, 4,     Boxscore,
, Toronto Blue Jays, 6, @,  Tampa Bay Rays, 1,     Boxscore,
,LA Angels of Anaheim, 2, @,  Texas Rangers, 4,     Boxscore,
, Colorado Rockies, 5, @,  Arizona D'Backs, 2,     Boxscore,
, Chicago White Sox, 8, @,  Baltimore Orioles, 7,     Boxscore,
,New York Yankees, 0, @,  Boston Red Sox, 8,     Boxscore,
, San Diego Padres, 5, @,  Los Angeles Dodgers, 2,     Boxscore,
, Miami Marlins, 7, @,  Milwaukee Brewers, 5,     Boxscore,
, Detroit Tigers, 4, @,  Minnesota Twins, 1,     Boxscore,
,San Francisco Giants, 5, @,  New York Mets, 6,     Boxscore,
,Houston Astros, 0, @,  Oakland Athletics, 2,     Boxscore,
,Cleveland Indians, 3, @,  Philadelphia Phillies, 4,     Boxscore,
,Cincinnati Reds, 1, @,  Pittsburgh Pirates, 5,     Boxscore,
,Kansas City Royals, 0, @,  Seattle Mariners, 6,     Boxscore,
, Washington Nationals, 6, @,  St. Louis Cardinals, 1,     Boxscore,
,Toronto Blue Jays, 3, @,  Tampa Bay Rays, 4,     Boxscore,
,LA Angels of Anaheim, 2, @,  Texas Rangers, 7,     Boxscore,
, Colorado Rockies, 6, @,  Arizona D'Backs, 3,     Boxscore,
, Chicago White Sox, 7, @,  Baltimore Orioles, 1,     Boxscore,
,New York Yankees, 7, @,  Boston Red Sox, 8,     Boxscore,
, Atlanta Braves, 4, @,  Chicago Cubs, 3,     Boxscore,
,San Diego Padres, 0, @,  Los Angeles Dodgers, 1,     Boxscore,
,Miami Marlins, 5, @,  Milwaukee Brewers, 14,     Boxscore,
, Detroit Tigers, 6, @,  Minnesota Twins, 5,     Boxscore,
, San Francisco Giants, 6, @,  New York Mets, 1,     Boxscore,
, Houston Astros, 2, @,  Oakland Athletics, 1,     Boxscore,
,Cleveland Indians, 1, @,  Philadelphia Phillies, 2,     Boxscore,
, Cincinnati Reds, 6, @,  Pittsburgh Pirates, 5,     Boxscore,
, Kansas City Royals, 4, @,  Seattle Mariners, 1,     Boxscore,
, Washington Nationals, 6, @,  St. Louis Cardinals, 1,     Boxscore,
, Toronto Blue Jays, 5, @,  Tampa Bay Rays, 1,     Boxscore,
, LA Angels of Anaheim, 9, @,  Texas Rangers, 6,     Boxscore,
, San Francisco Giants, 9, @,  Cincinnati Reds, 6,     Boxscore,
, Minnesota Twins, 6, @,  Houston Astros, 2,     Boxscore,
, Washington Nationals, 2, @,  Kansas City Royals, 0,     Boxscore,
,LA Angels of Anaheim, 5, @,  Milwaukee Brewers, 8,     Boxscore,
,Atlanta Braves, 1, @,  New York Mets, 4,     Boxscore,
, Seattle Mariners, 4, @,  Oakland Athletics, 3,     Boxscore,
, Chicago Cubs, 7, @,  Pittsburgh Pirates, 2,     Boxscore,
,Colorado Rockies, 1, @,  San Diego Padres, 2,     Boxscore,
,Philadelphia Phillies, 3, @,  St. Louis Cardinals, 10,     Boxscore,
, Texas Rangers, 2, @,  Toronto Blue Jays, 1,     Boxscore,
,New York Yankees, 1, @,  Baltimore Orioles, 4,     Boxscore,
