,LA Angels of Anaheim, 2, @,  Tampa Bay Rays, 3,     Boxscore,
,New York Yankees, 3, @,  Texas Rangers, 7,     Boxscore,
,Toronto Blue Jays, 2, @,  Baltimore Orioles, 5,     Boxscore,
, Boston Red Sox, 10, @,  Chicago White Sox, 3,     Boxscore,
, San Francisco Giants, 6, @,  Cincinnati Reds, 5,     Boxscore,
, Kansas City Royals, 4, @,  Cleveland Indians, 2,     Boxscore,
, Seattle Mariners, 5, @,  Detroit Tigers, 4,     Boxscore,
,Miami Marlins, 2, @,  New York Mets, 3,     Boxscore,
,Washington Nationals, 1, @,  San Diego Padres, 2,     Boxscore,
,LA Angels of Anaheim, 3, @,  Tampa Bay Rays, 4,     Boxscore,
,Pittsburgh Pirates, 1, @,  Atlanta Braves, 6,     Boxscore,
, Oakland Athletics, 5, @,  Baltimore Orioles, 2,     Boxscore,
, Boston Red Sox, 10, @,  Chicago White Sox, 3,     Boxscore,
, Houston Astros, 6, @,  Cincinnati Reds, 4,     Boxscore,
,LA Angels of Anaheim, 2, @,  Cleveland Indians, 3,     Boxscore,
,New York Mets, 9, @,  Colorado Rockies, 18,     Boxscore,
,Washington Nationals, 2, @,  Los Angeles Dodgers, 3,     Boxscore,
, Arizona D'Backs, 5, @,  Miami Marlins, 0,     Boxscore,
, Kansas City Royals, 7, @,  Minnesota Twins, 6,     Boxscore,
,Detroit Tigers, 6, @,  New York Yankees, 7,     Boxscore,
, Chicago Cubs, 5, @,  Philadelphia Phillies, 1,     Boxscore,
, San Diego Padres, 5, @,  San Francisco Giants, 3,     Boxscore,
,Milwaukee Brewers, 1, @,  St. Louis Cardinals, 13,     Boxscore,
, Tampa Bay Rays, 8, @,  Texas Rangers, 4,     Boxscore,
, Seattle Mariners, 9, @,  Toronto Blue Jays, 5,     Boxscore,
, Pittsburgh Pirates, 4, @,  Atlanta Braves, 2,     Boxscore,
,Oakland Athletics, 1, @,  Baltimore Orioles, 10,     Boxscore,
, Boston Red Sox, 1, @,  Chicago White Sox, 0,     Boxscore,
,Houston Astros, 0, @,  Cincinnati Reds, 6,     Boxscore,
, LA Angels of Anaheim, 2, @,  Cleveland Indians, 1,     Boxscore,
, New York Mets, 7, @,  Colorado Rockies, 5,     Boxscore,
,Washington Nationals, 3, @,  Los Angeles Dodgers, 4,     Boxscore,
,Arizona D'Backs, 2, @,  Miami Marlins, 3,     Boxscore,
, Detroit Tigers, 7, @,  New York Yankees, 5,     Boxscore,
,Chicago Cubs, 2, @,  Philadelphia Phillies, 5,     Boxscore,
,San Diego Padres, 1, @,  San Francisco Giants, 2,     Boxscore,
,Milwaukee Brewers, 3, @,  St. Louis Cardinals, 7,     Boxscore,
,Tampa Bay Rays, 2, @,  Texas Rangers, 7,     Boxscore,
,Seattle Mariners, 0, @,  Toronto Blue Jays, 7,     Boxscore,
,Pittsburgh Pirates, 3, @,  Atlanta Braves, 4,     Boxscore,
,Oakland Athletics, 2, @,  Baltimore Orioles, 5,     Boxscore,
,Boston Red Sox, 1, @,  Chicago White Sox, 4,     Boxscore,
,Houston Astros, 5, @,  Cincinnati Reds, 6,     Boxscore,
,LA Angels of Anaheim, 0, @,  Cleveland Indians, 4,     Boxscore,
, New York Mets, 6, @,  Colorado Rockies, 5,     Boxscore,
,Washington Nationals, 0, @,  Los Angeles Dodgers, 2,     Boxscore,
, Arizona D'Backs, 8, @,  Miami Marlins, 4,     Boxscore,
,Kansas City Royals, 4, @,  Minnesota Twins, 7,     Boxscore,
,Detroit Tigers, 2, @,  New York Yankees, 6,     Boxscore,
, Chicago Cubs, 5, @,  Philadelphia Phillies, 1,     Boxscore,
,San Diego Padres, 1, @,  San Francisco Giants, 4,     Boxscore,
, Milwaukee Brewers, 3, @,  St. Louis Cardinals, 2,     Boxscore,
, Tampa Bay Rays, 5, @,  Texas Rangers, 2,     Boxscore,
