, Kansas City Royals, 9, @,  Toronto Blue Jays, 6,     Boxscore,
, Boston Red Sox, 6, @,  Anaheim Angels, 4,     Boxscore,
,Milwaukee Brewers, 1, @,  Atlanta Braves, 7,     Boxscore,
,Minnesota Twins, 1, @,  Chicago White Sox, 3,     Boxscore,
,San Diego Padres, 5, @,  Cincinnati Reds, 7,     Boxscore,
,Chicago Cubs, 3, @,  Colorado Rockies, 6,     Boxscore,
, St. Louis Cardinals, 7, @,  Florida Marlins, 6,     Boxscore,
, Houston Astros, 6, @,  Montreal Expos, 3,     Boxscore,
, Arizona D'Backs, 6, @,  New York Mets, 1,     Boxscore,
, Arizona D'Backs, 7, @,  New York Mets, 3,     Boxscore,
,Cleveland Indians, 3, @,  Oakland Athletics, 4,     Boxscore,
,San Francisco Giants, 0, @,  Philadelphia Phillies, 1,     Boxscore,
, Los Angeles Dodgers, 6, @,  Pittsburgh Pirates, 2,     Boxscore,
,Detroit Tigers, 3, @,  Seattle Mariners, 4,     Boxscore,
, Baltimore Orioles, 7, @,  Tampa Bay Devil Rays, 4,     Boxscore,
,New York Yankees, 7, @,  Texas Rangers, 10,     Boxscore,
,Kansas City Royals, 9, @,  Toronto Blue Jays, 10,     Boxscore,
,Florida Marlins, 1, @,  Arizona D'Backs, 7,     Boxscore,
, Philadelphia Phillies, 3, @,  Los Angeles Dodgers, 0,     Boxscore,
, Florida Marlins, 7, @,  Arizona D'Backs, 5,     Boxscore,
,Kansas City Royals, 2, @,  Boston Red Sox, 7,     Boxscore,
, Oakland Athletics, 3, @,  Chicago White Sox, 2,     Boxscore,
, Anaheim Angels, 10, @,  Cleveland Indians, 1,     Boxscore,
,Cincinnati Reds, 5, @,  Colorado Rockies, 10,     Boxscore,
, Baltimore Orioles, 11, @,  Detroit Tigers, 3,     Boxscore,
, Atlanta Braves, 3, @,  Houston Astros, 1,     Boxscore,
,Philadelphia Phillies, 2, @,  Los Angeles Dodgers, 6,     Boxscore,
, Montreal Expos, 3, @,  Milwaukee Brewers, 2,     Boxscore,
