, Cincinnati Reds, 7, @,  San Francisco Giants, 5,     Boxscore,
,Montreal Expos, 2, @,  St. Louis Cardinals, 5,     Boxscore,
,Kansas City Royals, 3, @,  Tampa Bay Devil Rays, 5,     Boxscore,
,Texas Rangers, 5, @,  Toronto Blue Jays, 8,     Boxscore,
,Atlanta Braves, 6, @,  Arizona D'Backs, 13,     Boxscore,
,Minnesota Twins, 0, @,  Boston Red Sox, 2,     Boxscore,
, Oakland Athletics, 16, @,  Chicago White Sox, 6,     Boxscore,
,Anaheim Angels, 5, @,  Cleveland Indians, 6,     Boxscore,
, Chicago Cubs, 7, @,  Colorado Rockies, 2,     Boxscore,
,Baltimore Orioles, 2, @,  Detroit Tigers, 8,     Boxscore,
,Pittsburgh Pirates, 3, @,  Los Angeles Dodgers, 6,     Boxscore,
,New York Mets, 8, @,  Milwaukee Brewers, 12,     Boxscore,
, Seattle Mariners, 7, @,  New York Yankees, 3,     Boxscore,
,Philadelphia Phillies, 0, @,  San Diego Padres, 11,     Boxscore,
, Cincinnati Reds, 7, @,  San Francisco Giants, 5,     Boxscore,
, Montreal Expos, 4, @,  St. Louis Cardinals, 3,     Boxscore,
, Kansas City Royals, 6, @,  Tampa Bay Devil Rays, 0,     Boxscore,
, Atlanta Braves, 9, @,  Arizona D'Backs, 0,     Boxscore,
,Kansas City Royals, 2, @,  Boston Red Sox, 9,     Boxscore,
, Seattle Mariners, 8, @,  Chicago White Sox, 3,     Boxscore,
, Texas Rangers, 11, @,  Cleveland Indians, 9,     Boxscore,
, Cincinnati Reds, 12, @,  Colorado Rockies, 9,     Boxscore,
,Tampa Bay Devil Rays, 2, @,  Detroit Tigers, 4,     Boxscore,
, Florida Marlins, 9, @,  Houston Astros, 8,     Boxscore,
,Philadelphia Phillies, 3, @,  Los Angeles Dodgers, 4,     Boxscore,
, Montreal Expos, 6, @,  Milwaukee Brewers, 1,     Boxscore,
,Baltimore Orioles, 3, @,  Minnesota Twins, 6,     Boxscore,
,Oakland Athletics, 2, @,  New York Yankees, 3,     Boxscore,
, Pittsburgh Pirates, 3, @,  San Diego Padres, 0,     Boxscore,
, Chicago Cubs, 7, @,  San Francisco Giants, 3,     Boxscore,
,New York Mets, 0, @,  St. Louis Cardinals, 9,     Boxscore,
,Anaheim Angels, 4, @,  Toronto Blue Jays, 12,     Boxscore,
, Atlanta Braves, 3, @,  Arizona D'Backs, 1,     Boxscore,
, Kansas City Royals, 8, @,  Boston Red Sox, 2,     Boxscore,
